"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.363101927898332","0.558132792113656","0.664019715224535","0.569675723049956","1.30223966751328","0.692967143250899","0.327308211153563","1.07902513772849","0.66578822024205","1.07647184680669","0.801684833706191","1.12648712575362","1.04803493449781","1.0629029447639","1.01325585618304","1.42519515863353","1.47229884675463","1.26180965062457","1.48730988503702","1.22530680144563","1.18872600184082","1.07212450222778","0.604535862963699","0.474606665558122","0.274074437578877","0.532187398794988","0.489058284120048","0.517627856083631","0.661532629582052","",
"Africa Eastern and Southern","AFE","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.067052639005","3.63596075513107","4.23930540001681","1.75335360065903","2.7443876835376","2.3726266299909","2.21500684682071","3.0550524522012","3.60608585838724","4.01097692766781","3.89176662654506","4.29167843311672","4.49831692367631","4.33714642788655","4.25137670217134","4.22793175395909","4.34227611414232","4.65248178181015","4.19719685611853","4.01824095222197","3.93489551596347","3.83390071194533","4.19825509973572","7.14204454790883","7.88934628553192","6.32249111677382","6.10657347896149","",
"Afghanistan","AFG","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.48013896789743","7.00512866685065","8.96740986458065","8.06525254653196","6.72742833341948","15.6498843660628","8.61398975535739","9.78654507361187","14.9342855823966","15.6642261205454","9.97759368519341","8.24454575651439","7.82851624017411","","","","",
"Africa Western and Central","AFW","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.59984839337289","7.02927128997818","7.46423685269578","8.09093990898135","8.17725517564414","7.59260076640184","9.98417217731939","10.3642572060864","11.1060165388432","11.9905247165655","10.5479697457064","9.64666213699956","10.1688224317437","6.27901146272987","5.34916547244267","5.94142246225796","5.05627954804712","5.88623493928207","5.69176863421842","",
"Angola","AGO","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.93947680830243","0.722662703546096","","","5.45762371416929","4.09883663447679","5.54855779000737","4.25725685925459","1.59106439851977","2.20620102404688","2.40191697775295","3.04667035386754","2.48535828563403","4.89911877603347","4.54927897038292","18.4351987850453","33.9601733430611","27.1675572912458","45.4147601334516","",
"Albania","ALB","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.99595141700405","8.51393188854489","134.433962264151","41.4426769061986","8.59637340496978","4.55040278684955","5.686167304538","5.65979381443299","6.58221988146458","6.85975277804175","5.86982260854752","3.26831117264389","3.3465494407963","5.97467164778955","6.06876316749344","4.11167107281201","3.84708253792206","6.41535704422622","8.02127243526112","6.59772888501561","4.98287831281372","4.7477820354606","3.04447548997939","2.22991910767151","2.83792236221842","3.23621181177001","2.78338568322715","3.25908736035557","3.01397608748124","",
"Andorra","AND","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.56962126350975","5.15972527394617","4.19949147547108","4.71903721684599","4.34892555438222","",
"Arab World","ARB","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.63904607922393","7.62677109103176","8.19765695404025","8.60640696272217","8.55550727904928","6.8494174877476","5.34910941317999","5.2155372689775","5.83719372568351","6.94987010326302","7.09870767791357","6.55530245507466","6.14362139519585","6.31551890196127","7.12215274835292","8.03199150322364","9.6599092586123","11.2648461341748","11.0019535928226","12.4224663943244","12.3128038476996","12.6482552856751","10.7750437433971","11.1514403633977","12.1728743487956","14.3664294795696","14.6019159803891","14.1219207494781","20.9927501850159","24.6135588460075","18.8338382723472","15.2012582416621","",
